256	10
Fp1	Fp2	F3	F4	F7	F8	Fz	C3	C4	Cz	T3	T5	T4	T6	P3	P4	Pz	O1	O2
-14.1800216586557	-19.2004144899672	-16.0219811947814	-18.028606552224	-9.82978042572671	-17.5269502128634	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-7.15300346990158	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.1700836224918	-16.3551422751202
-14.3485169176776	-19.2004144899672	-15.8534859357595	-18.028606552224	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-7.15300346990158	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.1700836224918	-16.3551422751202
-14.3485169176776	-19.2004144899672	-15.8534859357595	-18.028606552224	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-6.98450821087968	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.5065573815518	-11.3347494438086	-16.3551422751202
-14.3485169176776	-19.365080311284	-16.0219811947814	-18.028606552224	-9.82978042572671	-17.3584549538415	-14.5131827389944	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.1733963012131	-6.98450821087968	-12.5065573815518	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.5065573815518	-11.1700836224918	-16.3551422751202
-14.3485169176776	-19.2004144899672	-16.0219811947814	-18.028606552224	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-7.15300346990158	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.3347494438086	-16.3551422751202
-14.3485169176776	-19.365080311284	-16.0219811947814	-18.028606552224	-9.99827568474861	-17.5269502128634	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-7.15300346990158	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.3347494438086	-16.3551422751202
-14.3485169176776	-19.2004144899672	-15.8534859357595	-18.028606552224	-9.99827568474861	-17.3584549538415	-14.5131827389944	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-6.98450821087968	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.1700836224918	-16.3551422751202
-14.1800216586557	-19.2004144899672	-15.8534859357595	-17.8601112932021	-9.99827568474861	-17.5269502128634	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-7.15300346990158	-12.5065573815518	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.3347494438086	-16.5236375341421
-14.3485169176776	-19.2004144899672	-16.0219811947814	-17.8601112932021	-9.99827568474861	-17.3584549538415	-14.5131827389944	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-7.15300346990158	-12.5065573815518	-15.183334337377	-13.678365319295	-15.6849906767376	-12.6750526405737	-11.3347494438086	-16.3551422751202
-14.1800216586557	-19.2004144899672	-16.0219811947814	-17.8601112932021	-9.82978042572671	-17.5269502128634	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-6.98450821087968	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.1700836224918	-16.3551422751202
