64 10
"Fp2_F4"	"F4_C4"	"C4_P4"	"P4_O2"	"Fp1_F3"	"F3_C3"	"C3_P3"	"P3_O1"	"Fp2_F8"	"F8_T4"	"T4_T6"	"T6_O2"	"Fp1_F7"	"F7_T3"	"T3_T5"	"T5_O1"	"Fz_Cz"	"Cz_Pz"
0.000126975338572866	0.0135766118066423	0.00535591845891448	-0.000242351928982476	0.0019035994186174	0.000477246102146721	0.00274110922970472	0.0118745677840448	0.00450529739291428	0.00121838903194149	0.00653467236118832	0.00655879488910305	0.00753944502743931	0.00111637564269529	-0.000619512373877029	0.0089602142382561	-0.016900439189388	0.0114036255715865
-0.0356058328335733	-0.788575093496096	-0.353528713528964	0.026875728165209	-0.0645723564044003	-0.0811772988322762	-0.169137940489042	-0.731492425654064	-0.307626369189771	-0.205145366073608	-0.299756534470916	-0.338305641959129	-0.548742930283974	-0.00113319385938471	-0.0997765580780205	-0.396727339158404	1.09154495606144	-0.830487478412194
-1.19972672312851	-2.88036501242022	-2.08947696751385	0.272945630215123	-0.0109505119832143	-0.806648692734524	-1.01397817253707	-3.61108438512395	-2.18732579090971	-2.6943972829867	-0.113215460668954	-0.901684538282105	-3.96113211984352	0.851174425767367	-2.23989121443593	-0.0928128538666759	6.34055244811081	-5.92180757189687
-1.26757015093401	-3.18196003738551	-2.19792743675118	0.249924015342751	-0.145837756832343	-0.792742959036445	-1.12402840457843	-3.56276767270051	-2.32509642796136	-2.75555625000904	-0.267459933689684	-1.04942099806787	-3.95797264427182	0.793573005929101	-2.20918930826156	-0.251787846543456	6.78534960034083	-6.22990226604144
-1.13001650912439	-3.44430422372787	-2.30653999338923	0.189106006462347	-0.516855347981002	-0.702376507060506	-1.07952416235356	-3.53781876414621	-2.37687074544796	-2.66221567178859	-0.365070531609904	-1.2875977709327	-4.09964978308341	0.798201305791096	-2.11687842856574	-0.418247875683213	6.9218580400549	-6.21537450030226
-1.15245565684198	-3.69005643761293	-2.35259783142766	0.126369630000982	-0.900606184431899	-0.644289780240475	-1.04888860813046	-3.37563611359998	-2.51368748866344	-2.48566678772906	-0.609375140362173	-1.46001087912692	-4.01010655008982	0.522277125757311	-1.86950541399908	-0.612085848071233	6.9032942123259	-6.085854968135
-1.07272679176901	-3.91621385832566	-2.53467406320881	0.182383936870374	-1.05840509006575	-0.600150236633389	-1.00487597427694	-3.29110560116009	-2.49389293686267	-2.38048075006891	-0.845650297629538	-1.62120679187199	-3.84078371388726	0.395424192725381	-1.70161208250697	-0.807565298467319	7.04495651055561	-6.03135432467718
-0.994263647939054	-4.29956622754672	-2.64470435607095	0.117561805672467	-1.53081658086073	-0.516836225174764	-1.02090057777799	-3.09838215223034	-2.66748522411576	-2.31749880597116	-0.980454367776717	-1.85553402802063	-3.91031193661879	0.209142193898885	-1.45691351704292	-1.008852276281	7.09435199443567	-5.96999886651988
-0.668822817833222	-4.83564000810739	-2.69589415208553	0.0233073850253804	-1.64631113569057	-0.66575114116863	-0.944440489717175	-2.89723447237549	-2.65456226367849	-2.1453730282542	-1.36129101798557	-2.01582328308251	-3.76432883895611	-0.0308847935741401	-1.27559132960218	-1.08293227681943	7.03169952503828	-5.86977771577237
-1.53933361417523	-2.73737539856688	-3.16508929833519	-0.134172681807672	-0.892340645201363	1.61133011708577	-2.25482897437544	-2.97717471689559	-2.50872070274751	-2.52532734027073	-1.05885656895066	-1.48306638091607	-2.64714675026772	0.324014444353913	-1.04853812895173	-1.14134378452108	13.3137312677218	-10.5264905156785
2.49919349326938	5.56161175415905	-6.3524655959882	-4.07448369995415	9.88233622850258	8.45769866658795	-7.51254769018299	-6.16100026840001	0.360593893986767	0.632375510936157	-4.17170905493052	0.812595601493676	3.61640483623324	2.93907512439685	-0.7337384823085	-1.15525454181405	43.805749589536	-33.5117069616868
1.26444770658917	6.95917663750409	-2.41629428540343	-5.87381508978623	10.2344445917344	3.75593309335079	-7.2683475835557	-4.00047798282968	1.27667700217039	-0.205656757874923	0.960989939225353	-2.09849521461722	6.9403353650468	-0.592380249726808	-3.37589804380866	-0.250504952811553	28.8349087581163	-21.4666220518493
1.1797619391579	4.96600053620114	-2.23926541991973	-2.65811740563698	9.27098271783265	-3.55232006115656	-5.26172637813533	-1.46783112391471	0.753535512522969	0.240964191912064	2.31935113447309	-2.0654711891058	5.8317372661778	-3.76004485032083	-3.92240626554212	0.839819004311195	9.16321838564246	-8.46257573272191
2.15087803824701	4.74410135975111	-5.35676817066064	-1.91819827872895	5.82943492711287	-2.58268408549725	-3.20060910800216	2.45586814320752	3.39965414760398	-4.04880629388032	-1.07465029324118	1.34381538812606	8.82295507582681	-1.32257882521118	-6.56816332470474	1.56979695091011	-1.96860651338552	-3.32204881228562
3.38705574642302	4.93811340425676	-6.54806537210603	-2.52291938013022	-1.03657606488688	0.58706498136927	0.483450052486557	4.91920745716135	1.08379029090401	-2.63231010259221	-0.807668232857177	1.61037244298891	7.65046831510703	1.73799048614711	-6.78889494658118	2.35358257145734	-12.3546625625394	2.3994373183863
3.88194006987742	5.87678648031068	-5.99515644634544	-3.62216376142863	-6.90025447252443	0.158907778739914	4.50461654471448	6.34235432812959	-2.42684652100898	1.34607684806454	-1.88860815707076	3.11078417242923	2.46406478101187	3.1481901652534	-4.64988355845938	3.14325279125367	-17.7712091075882	7.01681644056369
9.01508421604176	5.71496143824241	-10.096089783281	-2.98710410945312	-5.50068286660773	-2.15432002172748	6.55394852907642	7.03898471366787	0.418642753986575	0.676099744975794	-0.261286558082595	0.813395820670245	3.27417392292474	3.70438198805512	-3.95573831691103	2.91511276034026	-18.0945225615868	6.42957514379947
